Seq No.,UDISE Code,School Name,School Location
1,36231002101,MPPS ARUTLA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
2,36231002108,GOVT. UPS U/M ARUTLA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
3,36231000913,"GOVT. JR. COLLEGE , MANCHAL","State : Telangana
District : RANGAREDDY
Block : MANCHAL"
4,36231000501,MPPS THALLAPALLIGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
5,36231002305,MPPS LOYAPALLY,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
6,36231002105,GOVT(DNT) PS PATELCHERVU TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
7,36231000904,ZPHS MANCHAL (G),"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
8,36231000901,MPPS MANCHAL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
9,36231001501,MPPS RANGAPUR,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
10,36231001804,ZPHS PERIKIRALA TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
11,36231001803,MPUPS YELLAMMA TANDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
12,36231000502,ZPHS THALLAPALLIGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
13,36231002111,ZPHS ARUTLA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
14,36231002308,ZPHS LOYAPALLY,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
15,36231002001,MPPS CHANDKHANGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
16,36231002102,MPPS HW 1 ARUTLA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
17,36231000402,ZPHS LINGAMPALLY,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
18,36231001504,ZPHS RANGAPUR,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
19,36231001301,MPPS KHAGAZGHAT,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
20,36231002113,ZPHS CHENNAREDDYGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
21,36231001202,MPUPS AGAPALLY,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
22,36231000905,ZPHS MANCHAL (B),"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
23,36231000401,MPPS LINGAMPALLY,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
24,36231002110,ZPHS ARUTLA (G),"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
25,36231001201,MPPS AGAPALLY,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
26,36231002112,MPPS CHENNAREDDYGUDA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
27,36231002116,PUDAMI THE ENG SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
28,36231002109,GEETANJALI MODEL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
29,36231002307,SHUBODAYA VIDYAMANDIR,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
30,36231000908,VIVEKANAN HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
31,36231002309,I.C.F.SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
32,36231002119,TSMS MANCHAL ARTULA,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
33,36231001103,MJPTBCWRS B IBRAHIMPATAN,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
34,36231000915,MJPTBWRS FOR BOYS MALAKPET,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
35,36231001401,MPPS JAPAL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
36,36231000909,BEAM ROSE UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : MANCHAL"
