Seq No.,UDISE Code,School Name,School Location
1,36232400402,MPPS APPAREDDYGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
2,36232400513,MPPS C G TANDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
3,36232400307,ZPHS CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
4,36232400304,MPPS TALLAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
5,36232400518,ZPHS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
6,36232400508,MPPS SANGIGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
7,36232400302,MPPS VENKAMMAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
8,36232400510,MPPS PEDDAKUNTA TANDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
9,36232400501,MPPS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
10,36232400503,MPPS CHANDRAYAN GUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
11,36232400308,ZPHS NARSAPPAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
12,36232400516,"SRI VIKAS CONVENT, NANDIGAM","State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
13,36232400505,MPPS PITTALAGUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
14,36232400525,"UPS SRI VIGNAN SCHOOL(EM), NANDIGAM","State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
15,36232400401,MPPS CA GUDA,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
16,36232400206,MPPS MAMIDIPALLY,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
17,36232400208,ZPHS MAMIDIPALLY,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
18,36232400311,ST.JOSEPH GJ CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
19,36232400312,SHANTHINIKETAN CHEGUR,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
20,36232400524,LITTLE SCHOLARS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
21,36232400519,NATCO HS NANDIGAM,"State : Telangana
District : RANGAREDDY
Block : NANDIGAM"
