Seq No.,UDISE Code,School Name,School Location
1,36230401620,MPPS NETAJI NAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
2,36230401725,GOVT. HS RAJENDRANGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
3,36230401625,GOVT. PS RAJENDRANAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
4,36230401101,MPPS UPPARPALLY,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
5,36230401301,MPPS HYDERGUDA,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
6,36230400301,MPPS SHIVRAMPALLY,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
7,36230401669,MPPS HANUMANNAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
8,36230401896,ZPHS GANESHNAGAR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
9,36230400801,MPPS LAXMIGUDA,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
10,36230401601,MPPS ERRABODA,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
11,36230400604,ZPHS MAILAR DEVPALLY,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
12,36230401704,AIDED A V M UP SCHOOL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
13,36230400303,ZPHS SHIVARAMPALLY,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
14,36230401202,MPPS BUDVEL HW 21 WARD,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
15,36230401504,ZPHS ATTAPUR,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
16,36230401001,MPPS PREMAVATHI PET,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
17,36230401204,MPPS BUDVEL RLY STATION,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
18,36230401680,MPPS SULEMANNAGAR - II,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
19,36230401627,MPUPS SULEMAN NAGAR - I,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
20,36230401203,ZPHS BUDVEL,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
21,36230401788,ZPHS PADMASHALIPURAM,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
22,36230400302,MPPS SHIVARAMPALLY DB,"State : Telangana
District : RANGAREDDY
Block : RAJENDRANAGAR"
