Seq No.,UDISE Code,School Name,School Location
1,36230601623,"GOVT. JR. COLLEGE , SAROORNAGAR","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
2,36230601450,GOVT. UPS MOOSA NAGAR(TW),"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
3,36230600825,TSWREIS (GIRLS) SAROORNAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
4,36230600410,MPPS CHAMPAPET,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
5,36230601328,MPPS VIRAT NAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
6,36230601329,MPPS DATUNAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
7,36230601334,MPPS ROSHANUDDOWLA,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
8,36230601413,"MPPS MANSOORABAD, LB NAGAR2","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
9,36230601540,MPUPS BOMMANAGANDI,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
10,36230601323,MPPS ALTHAF NAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
11,36230601452,ZPHS SAROORNAGAR,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
12,36230601314,MPPS BAHADURGUDA,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
13,36230601315,MPPS GUNTI JANGAIAH,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
14,36230601453,ZPHS BAHADURGUDA,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
15,36230601541,ZPHS SAROORNAGAR UM,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
16,36230601451,ZPHS CHAMPAPET,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
17,36230601316,MPPS BAHADURGUDA U/M,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
18,36230601602,ZPHS MANSOORABAD,"State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
19,36230601317,"MPPS MANSOORABAD, LB NAGAR1","State : Telangana
District : RANGAREDDY
Block : SAROORNAGAR"
