Seq No.,UDISE Code,School Name,School Location
1,36230201302,MPUPS MADEENAGUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
2,36230202501,GOVT. JUNIOR COLLEGE SHERLINGAMPALLY(RAIDURG),"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
3,36230201620,"GOVT. JR. COLLEGE , B.H.E.L. CAMPUS, R.C. PURAM,","State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
4,36230201617,MPPS STALIN NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
5,36230200405,MPPS SIDDIQNAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
6,36230200503,GOVT. PS GOPANPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
7,36230202321,TSWRMS JR.COLLEGE,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
8,36230200901,MPPS KHAJAGUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
9,36230200707,MPPS HAFEEZPET,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
10,36230201835,ZPHS KONDAPUR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
11,36230201804,ZPHS LINGAMPALLY,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
12,36230201001,MPPS KHANAMET,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
13,36230200502,MPPS GOPANPALLY,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
14,36230201573,MPPS GOPI NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
15,36230200313,MPUPS VEMU KUNTA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
16,36230201611,ZPHS MIYAPUR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
17,36230201618,MPPS M A NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
18,36230200505,MPUPS GOULI DODDI,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
19,36230201401,MPHS MAKTA MAHABOBPET,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
20,36230200902,ZPHS KHAJAGUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
21,36230201905,MPPS THARA NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
22,36230201101,ZPHS KOTHAGUDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
23,36230200201,ZPHS DARGA U/M,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
24,36230202502,MPPS RAIDUG WARD -8,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
25,36230200504,MPPS KESHAVANAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
26,36230201201,MPPS KONDAPUR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
27,36230202503,MPPS RAIDRUG,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
28,36230200204,MPPS MADHURANAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
29,36230200403,MPPS GACHIBOWLI,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
30,36230200401,ZPHS GACHIBOWLI,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
31,36230201817,MPPS PAPIREDDY NAGAR,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
32,36230201624,JANAPRIYA HS,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
33,36230202004,MPPS CHANDANAYAK TANDA,"State : Telangana
District : RANGAREDDY
Block : SERILINGAMPALLY"
