Seq No.,UDISE Code,School Name,School Location
1,36232202006,MPPS YELGONDAGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
2,36232202021,ZPHS SHABAD(B),"State : Telangana
District : RANGAREDDY
Block : SHABAD"
3,36232201101,MPPS LINGAREDDYGUDA (D),"State : Telangana
District : RANGAREDDY
Block : SHABAD"
4,36232202017,GOVT. UPS SHABAD,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
5,36232202030,KGBV SHABAD,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
6,36232202010,MPPS MALLAREDDYGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
7,36232201102,MPPS NANDHARKHANPET,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
8,36232200102,MPUPS BOBBLIGAM,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
9,36232202202,MPPS KURVAGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
10,36232200802,MPUPS CHINNA SOLIPET,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
11,36232202002,MPPS SANKAYPALLYGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
12,36232202015,MPPS ASPALLYGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
13,36232202005,MPPS CHERLAGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
14,36232202401,MPPS KESARAM,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
15,36232202204,ZPHS SARDARNAGAR,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
16,36232202103,MPUPS BODAMPADU,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
17,36232201201,MPPS DYWALGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
18,36232202008,MPPS PATELGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
19,36232200405,MPPS LAXMARAOGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
20,36232201001,MPPS PEDDAVEED,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
21,36232201702,MPPS REGADDOSWADA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
22,36232201701,MPPS MAKTHAGUDA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
23,36232202004,MPPS SHABAD H.W.,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
24,36232202203,MPPS KAKLOOR,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
25,36232200601,MPUPS CHANDANAVALLY,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
26,36232201401,MPPS MACHANPALLY,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
27,36232202301,MPPS ANTHARAM,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
28,36232201202,MPUPS NAGARKUNTA,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
29,36232200406,ZPHS TADLAPALLY,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
30,36232201104,MPPS LINGAREDDYGUDA (M),"State : Telangana
District : RANGAREDDY
Block : SHABAD"
31,36232201501,MPPS POLARAM,"State : Telangana
District : RANGAREDDY
Block : SHABAD"
