Seq No.,UDISE Code,School Name,School Location
1,36231900601,MPPS SULTANPALLI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
2,36231904172,"GOVT. JR. COLLEGE , SHAMSHABAD","State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
3,36231904202,MPPS SATAMRAI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
4,36231902512,KGBV SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
5,36231904206,ZPHS SATAMRAI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
6,36231902303,GOVT. PS PEDDA SHAPUR(T),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
7,36231901002,GOVT(DNT) PS JUKAL THANDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
8,36231904191,TSWREIS (BOYS) SHAMSHABAD,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
9,36231901101,MPPS CHOWDERGUDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
10,36231902503,MPPS PILLONIGUDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
11,36231902603,MPPS PEDDATOOPRAN,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
12,36231904187,MPPS SHAMSHABAD U/M,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
13,36231901502,MPPS GANDINAGAR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
14,36231902401,MPPS MADANPALLY,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
15,36231904127,ZPHS SHASHABAD (G),"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
16,36231902002,ZPHS THONDUPALLY,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
17,36231902001,MPPS THONDUPALLY,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
18,36231901503,MPUPS KOTHWALGUDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
19,36231904106,MPPS SHAMSHABAD HW,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
20,36231904163,MPPS HUDA COLONY,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
21,36231904103,MPPS SIDDANTHI,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
22,36231900203,MPUPS RAMANUJAPUR,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
23,36231900801,MPPS RAYANNAGUDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
24,36231903101,MPPS POSETTGUDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
25,36231902501,MPPS PALAMAKOLE,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
26,36231902604,ZPHS PEDDATOOPRAN,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
27,36231902403,MPPS KOTHA THANDA,"State : Telangana
District : RANGAREDDY
Block : SHAMSHABAD"
