Seq No.,UDISE Code,School Name,School Location
1,36230101103,MPPS MASANIGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
2,36230102405,SRI RESU SATHI REDDY ZPHS MAHARAJPET,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
3,36230100301,MPPS SINGAPUR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
4,36230100405,MPUPS SHANKERPALLY U/M,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
5,36230100702,MPPS RAVULAPALLY KALAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
6,36230102002,MPPS KONDAKAL TANDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
7,36230100446,TSWREIS (GIRLS) SHANKARPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
8,36230101001,MPUPS ANTHAPPA GUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
9,36230101802,ZPHS TANGATOOR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
10,36230102304,GOVT. PS JANWADA (UM),"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
11,36230102003,MPPS SHERIGIDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
12,36230100403,MPPS GANESH NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
13,36230100801,MPUPS SANKEPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
14,36230102402,MPPS MAHARAJPET,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
15,36230100703,ZPHS RAVULAPALLY KALAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
16,36230101801,MPPS TANGATOOR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
17,36230102007,MPPS INDIRAREDDY NAGAR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
18,36230101302,ZPHS KOTHAPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
19,36230102308,"VIGNAN VIDYA NIKETAN, JANWADA","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
20,36230102004,ZPHS KONDAKAL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
21,36230100414,ZPHS SHANKARPALLY BOYS,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
22,36230102305,MPPS MIRJAGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
23,36230102301,"MPPS JANWADA (TM, EM)","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
24,36230102201,MPPS DONTHANPALLY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
25,36230101401,MPPS PARVEDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
26,36230102602,ZPHS PODDATUR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
27,36230102101,MPUPS MOKILA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
28,36230100424,RAMAKRISHNA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
29,36230101702,MPUPS YELWARTHY,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
30,36230102601,MPPS PODDATUR,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
31,36230100105,MPUPS GAJULAGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
32,36230100104,MPPS LAXMAREDDYGUDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
33,36230100101,MPPS MAHALINGAPURAM,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
34,36230102306,ZPHS JANWADA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
35,36230101602,ZPHS PARVEDA,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
36,36230100418,REVATHI HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
37,36230100436,INDUS INTERNATIONAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
38,36230100416,SRI VIVEKANANDA HIGH SCH,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
39,36230100427,"KRISHNAVENI TALENT, SHANKERPALLY","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
40,36230102105,"SRI ARYABHATTA SCHOOL, MOKILA","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
41,36230102406,SRI CHAITANYA PS,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
42,36230100106,CHAITANYA VIDYA NIKETAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
43,36230100417,"SRI SARASWATHI SHISHU MAN, SHANKERPALLY","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
44,36230102309,"BRILLIANT SCHOOL, MIRJAGUDA","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
45,36230100441,"BRILLIANT GRAMMAR HIGH SCHOOL, SHANKARPALLY","State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
46,36230102006,PRASCHIN GLOBAL SCHOOL,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
47,36230102203,SUMANIKETAN,"State : Telangana
District : RANGAREDDY
Block : SHANKARPALLE"
