Seq No.,UDISE Code,School Name,School Location
1,36231401505,MPUPS CHOWDER PALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
2,36231400801,MPPS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
3,36231400811,KGBV TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
4,36231401702,MPPS RAMPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
5,36231400301,MPPS PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
6,36231400807,ZPHS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
7,36231402003,MPUPS BALSULPALLY TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
8,36231401701,MPPS SANGAIPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
9,36231400302,MPPS PEDDURI TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
10,36231400707,ZPHS CHUKKAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
11,36231400305,ZPHS PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
12,36231400201,MPUPS LINGARAOPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
13,36231401005,ZPHS CHANDRADANA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
14,36231401002,MPPS CHANDRADANA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
15,36231401803,MPPS KHANAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
16,36231401001,MPPS NALLARALLA TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
17,36231402005,MPUPS VENKATRAOPETA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
18,36231400702,MPPS CHUKKAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
19,36231402106,ZPHS GATTUIPPALAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
20,36231400601,MPPS CHENNARAM,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
21,36231401901,MPPS GOURIPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
22,36231401508,ZPHS VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
23,36231400304,MPPS DEVUNI PADAKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
24,36231401301,MPPS VENKATAPUR,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
25,36231401102,MPUPS JULAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
26,36231401506,MPPS VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
27,36231401801,MPPS KARKAS TANDA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
28,36231402102,MPPS VEERANNAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
29,36231400814,"AKSHARA HIGH SCHOOL, TALAKONDAPALLY","State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
30,36231400309,PRATHIBA SCHOOL PADKAL,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
31,36231400812,LITTLE SCHLORS TALAKONDAPALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
32,36231400401,MPUPS CHEEPUNUTHALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
33,36231401510,VIJETHA HIGH SCHOOL VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
34,36231402108,VISHWA VIJETHA HIGHSCHOOL GI PALLY,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
35,36231401509,SRISAIVIDYALAYAM VELJALA,"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
36,36231400819,MJPTBCWREIS (BOYS),"State : Telangana
District : RANGAREDDY
Block : TALAKONDAPALLE"
