Seq No.,UDISE Code,School Name,School Location
1,36231100101,MPPS TULEKURDU,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
2,36231100416,"GOVT.JR.COLLEGE , YACHARAM, RANGA REDDY DIST.","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
3,36231101708,ZPHS NALLAVELLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
4,36231101405,MPPS KOTHAPALLY THANDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
5,36231101002,MPUPS THATIPARTHY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
6,36231101101,MPPS NANAKNAGAR,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
7,36231100201,MPPS GUNGAL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
8,36231100415,KGBV YACHARAM,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
9,36231100701,MPPS NANDIWANA PARTHY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
10,36231101204,ZPHS MEDIPALLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
11,36231100902,GOVT. PS KURMIDDA TANDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
12,36231100708,ZPHS NANDIWANA PARTY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
13,36231101705,MPPS NALLAVELLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
14,36231100406,ZPHS YACHARAM,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
15,36231101402,MPPS KOTHAPALLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
16,36231100401,MPPS YACHARAM,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
17,36231100702,MPPS AYYAWARI GUDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
18,36231100402,MPPS GANDLAGUDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
19,36231101603,ZPHS CHINTAPATLA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
20,36231100704,MPPS BOLLIGUTTA THANDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
21,36231102001,MPPS MANTHANGOUD,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
22,36231100904,ZPHS KURMIDDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
23,36231100903,MPPS KURMIDDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
24,36231101503,MPUPS TAKKALLAPALLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
25,36231100104,ZPHS CHINNATHUNDLA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
26,36231100102,MPPS DHARMANNAGUDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
27,36231101702,MPPS MALL MARKET T/M,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
28,36231101707,ZPHS MALL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
29,36231101901,MPPS MEESALA THANDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
30,36231101902,MPUPS MANTHAN GOWRELLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
31,36231100601,MPPS CHOWDERPALLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
32,36231100414,JOVIAL HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
33,36231100205,ZPHS GUNGAL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
34,36231100203,MPUPS GADDAMALLAIAHGUDA,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
35,36231101505,"ST. GREGORIOS PUBLIC SCHOOL, TAKKALLAPALLY","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
36,36231101706,MPPS MALL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
37,36231101713,SRI VEDA HIGH SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
38,36231100301,MPUPS MONDIGOWRELLY,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
39,36231100605,PRINCE PUBLIC SCHOOL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
40,36231100410,PUDAMI NEIGHBOUR HOOD,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
41,36231100707,GOWTHAMI VIDYAALAYAM,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
42,36231100206,PUDAMI THE ENG PRIMARIES (GUNGAL),"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
43,36231101712,"KRISHNAVENI TALENT SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
44,36231101714,"ST.STEPHENS SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
45,36231101715,"PRAGATHI SCHOOL, MALL","State : Telangana
District : RANGAREDDY
Block : YACHARAM"
46,36231100208,TSMS GUNGAL,"State : Telangana
District : RANGAREDDY
Block : YACHARAM"
